category,yyyy,mm,platform_type,gmv
화장품,2017,11,mobile,"434,703"
아동·유아용품,2017,11,mobile,"215,042"
음·식료품,2017,11,mobile,"448,282"
농축수산물,2017,11,mobile,"132,643"
생활용품,2017,11,mobile,"434,326"
자동차 및 자동차용품,2017,11,mobile,"50,031"
가구,2017,11,mobile,"145,819"
애완용품,2017,11,mobile,"46,998"
여행 및 교통서비스,2017,11,mobile,"639,102"
문화 및 레저서비스,2017,11,mobile,"79,622"
e쿠폰서비스,2017,11,mobile,"104,091"
음식서비스,2017,11,mobile,"246,210"
기타서비스,2017,11,mobile,"25,590"
기타,2017,11,mobile,"113,788"
컴퓨터 및 주변기기,2017,11,web,"302,907"
가전·전자·통신기기,2017,11,web,"462,529"
서적,2017,11,web,"87,946"
사무·문구,2017,11,web,"44,129"
의복,2017,11,web,"586,462"
신발,2017,11,web,"61,475"
가방,2017,11,web,"49,080"
패션용품 및 액세서리,2017,11,web,"66,076"
스포츠·레저용품,2017,11,web,"141,177"
화장품,2017,11,web,"354,520"
아동·유아용품,2017,11,web,"84,549"
음·식료품,2017,11,web,"253,308"
농축수산물,2017,11,web,"76,101"
생활용품,2017,11,web,"274,287"
자동차 및 자동차용품,2017,11,web,"39,536"
가구,2017,11,web,"96,351"
애완용품,2017,11,web,"25,677"
여행 및 교통서비스,2017,11,web,"518,560"
문화 및 레저서비스,2017,11,web,"65,460"
e쿠폰서비스,2017,11,web,"20,237"
음식서비스,2017,11,web,"34,430"
기타서비스,2017,11,web,"31,121"
기타,2017,11,web,"105,278"
컴퓨터 및 주변기기,2017,12,mobile,"155,301"
가전·전자·통신기기,2017,12,mobile,"427,298"
서적,2017,12,mobile,"58,092"
사무·문구,2017,12,mobile,"27,303"
의복,2017,12,mobile,"737,601"
신발,2017,12,mobile,"102,315"
가방,2017,12,mobile,"129,802"
패션용품 및 액세서리,2017,12,mobile,"136,433"
스포츠·레저용품,2017,12,mobile,"139,821"
화장품,2017,12,mobile,"412,990"
아동·유아용품,2017,12,mobile,"272,962"
음·식료품,2017,12,mobile,"451,629"
농축수산물,2017,12,mobile,"146,060"
생활용품,2017,12,mobile,"417,191"
자동차 및 자동차용품,2017,12,mobile,"47,508"
가구,2017,12,mobile,"132,574"
애완용품,2017,12,mobile,"39,074"
여행 및 교통서비스,2017,12,mobile,"755,350"
문화 및 레저서비스,2017,12,mobile,"135,272"
e쿠폰서비스,2017,12,mobile,"122,247"
음식서비스,2017,12,mobile,"298,964"
기타서비스,2017,12,mobile,"25,605"
기타,2017,12,mobile,"139,263"
컴퓨터 및 주변기기,2017,12,web,"320,177"
가전·전자·통신기기,2017,12,web,"387,969"
서적,2017,12,web,"103,589"
사무·문구,2017,12,web,"50,562"
의복,2017,12,web,"458,290"
신발,2017,12,web,"52,613"
가방,2017,12,web,"51,051"
패션용품 및 액세서리,2017,12,web,"69,667"
스포츠·레저용품,2017,12,web,"118,429"
화장품,2017,12,web,"290,554"
아동·유아용품,2017,12,web,"104,274"
음·식료품,2017,12,web,"258,055"
농축수산물,2017,12,web,"75,792"
생활용품,2017,12,web,"264,710"
자동차 및 자동차용품,2017,12,web,"37,716"
가구,2017,12,web,"88,111"
애완용품,2017,12,web,"23,206"
